1	4.70	4.70	4.27	3.55	2.72	1.97	1.44	1.22	1.48	2.29	3.32	4.15	4.62	4.70	4.39	3.77	2.96	2.15	1.54	1.18	1.17	1.69	2.64	3.60
2	4.29	4.63	4.56	4.12	3.43	2.66	1.97	1.52	1.36	1.63	2.39	3.32	4.06	4.48	4.53	4.23	3.65	2.88	2.13	1.60	1.28	1.29	1.80	2.68
3	3.57	4.22	4.53	4.45	4.05	3.43	2.71	2.07	1.64	1.46	1.67	2.35	3.20	3.91	4.34	4.43	4.19	3.65	2.92	2.22	1.70	1.36	1.31	1.76
4	2.59	3.45	4.11	4.45	4.44	4.12	3.55	2.85	2.22	1.74	1.46	1.58	2.18	3.02	3.77	4.27	4.44	4.27	3.77	3.05	2.36	1.80	1.36	1.22
5	1.61	2.42	3.30	4.04	4.47	4.55	4.31	3.76	3.03	2.34	1.75	1.33	1.37	1.95	2.82	3.67	4.29	4.55	4.43	3.95	3.22	2.48	1.82	1.25
6	1.02	1.39	2.22	3.20	4.06	4.61	4.78	4.58	3.99	3.18	2.38	1.64	1.10	1.09	1.70	2.68	3.66	4.39	4.72	4.63	4.13	3.35	2.53	1.75
7	1.06	0.79	1.17	2.10	3.23	4.22	4.86	5.07	4.84	4.16	3.23	2.29	1.42	0.81	0.81	1.52	2.64	3.75	4.55	4.90	4.80	4.25	3.40	2.48
8	1.59	0.83	0.56	1.04	2.12	3.41	4.49	5.14	5.32	5.00	4.19	3.13	2.09	1.14	0.51	0.60	1.47	2.73	3.93	4.74	5.06	4.91	4.28	3.33
9	2.33	1.38	0.61	0.42	1.06	2.31	3.71	4.79	5.38	5.47	5.01	4.05	2.90	1.82	0.86	0.30	0.54	1.58	2.95	4.15	4.91	5.16	4.92	4.18
10	3.15	2.12	1.16	0.45	0.41	1.25	2.64	4.04	5.03	5.49	5.45	4.83	3.75	2.59	1.54	0.63	0.21	0.66	1.84	3.24	4.38	5.03	5.17	4.81
11	3.97	2.92	1.90	0.98	0.40	0.57	1.59	3.02	4.32	5.14	5.45	5.25	4.50	3.38	2.28	1.30	0.50	0.29	0.94	2.21	3.55	4.56	5.06	5.08
12	4.59	3.69	2.67	1.71	0.88	0.48	0.88	2.00	3.36	4.48	5.12	5.27	4.92	4.09	3.02	2.02	1.14	0.50	0.52	1.33	2.59	3.80	4.65	5.00
13	4.88	4.31	3.41	2.45	1.58	0.90	0.72	1.28	2.39	3.60	4.52	4.98	4.98	4.53	3.69	2.72	1.83	1.08	0.63	0.86	1.75	2.91	3.96	4.64
14	4.85	4.62	4.02	3.16	2.29	1.55	1.04	1.05	1.68	2.70	3.71	4.44	4.75	4.64	4.16	3.37	2.50	1.73	1.12	0.87	1.24	2.11	3.14	4.03
15	4.55	4.64	4.35	3.77	2.99	2.23	1.61	1.27	1.40	2.02	2.88	3.72	4.29	4.49	4.33	3.86	3.14	2.37	1.71	1.25	1.16	1.59	2.38	3.27
16	4.01	4.41	4.41	4.13	3.59	2.90	2.24	1.75	1.53	1.70	2.24	2.96	3.66	4.12	4.24	4.08	3.64	2.98	2.31	1.77	1.43	1.45	1.88	2.57
17	3.33	3.96	4.26	4.23	3.98	3.49	2.87	2.31	1.91	1.74	1.90	2.36	2.97	3.57	3.97	4.07	3.92	3.51	2.90	2.31	1.87	1.61	1.68	2.08
18	2.69	3.36	3.91	4.15	4.13	3.90	3.45	2.88	2.38	2.02	1.87	2.01	2.41	2.96	3.52	3.90	4.00	3.84	3.44	2.87	2.35	1.96	1.74	1.83
19	2.21	2.77	3.40	3.89	4.12	4.11	3.90	3.44	2.89	2.40	2.05	1.89	2.04	2.43	2.99	3.55	3.92	4.01	3.83	3.41	2.87	2.37	1.98	1.78
20	1.90	2.29	2.85	3.48	3.97	4.19	4.17	3.92	3.42	2.84	2.34	1.97	1.84	2.03	2.48	3.09	3.68	4.04	4.09	3.86	3.40	2.84	2.31	1.91
21	1.74	1.91	2.36	2.97	3.64	4.14	4.34	4.27	3.93	3.35	2.72	2.18	1.80	1.73	2.03	2.58	3.27	3.89	4.22	4.20	3.90	3.37	2.74	2.17
